"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.164333668E0,-1.447885111E-2,3.201857209E-3,-7.577896118E-3,1.665273337E-2
1.169188407E0,2.363771200E-2,7.948040962E-3,2.097415924E-2,3.258570453E-2
1.174043147E0,-7.414475083E-3,-3.993004560E-3,-2.942085266E-3,8.920447965E-3
1.178897834E0,-4.969008267E-3,1.030971110E-2,-5.426406860E-4,1.145755842E-2
1.183752574E0,9.327657521E-3,-6.400212646E-3,1.835823059E-3,1.146028634E-2
1.188607261E0,2.112978697E-2,3.174498677E-3,-2.192115784E-2,3.061180328E-2
1.193462001E0,-1.227523386E-2,-1.575469971E-3,-2.173805237E-2,2.501412387E-2
1.198316741E0,-5.041375756E-3,3.210723400E-3,-4.937171936E-3,7.752411302E-3
1.203171428E0,2.160459757E-3,1.505085826E-2,-9.643554688E-3,1.800538996E-2
1.208026168E0,6.899878383E-3,7.053315639E-4,-2.441406250E-3,7.352977546E-3
1.212880855E0,6.822831929E-3,-3.011083603E-2,7.075309753E-3,3.167449273E-2
1.217735595E0,-7.440283895E-3,-3.690645099E-3,-1.068115234E-4,8.306027593E-3
1.222590282E0,-9.771570563E-3,-8.383840322E-3,-1.197719574E-2,1.758481128E-2
1.227445022E0,-2.131089568E-4,1.304881275E-2,-4.754066467E-3,1.388949522E-2
1.232299709E0,6.919831038E-3,-1.320868731E-2,-9.462356567E-3,1.766039846E-2
1.237154449E0,1.396423578E-2,-3.635168076E-3,-2.261161804E-3,1.460572424E-2
1.242009189E0,1.145417988E-2,-1.070274413E-2,-4.615783691E-3,1.634173882E-2
1.246863876E0,4.246637225E-3,3.655433655E-3,1.441669464E-2,1.546729476E-2
1.251718616E0,-7.707715034E-3,1.077173650E-2,2.425193787E-3,1.346553910E-2
1.256573303E0,6.640017033E-3,-1.068986952E-2,4.778862000E-3,1.346107940E-2
1.261428043E0,8.967958391E-3,6.013944745E-3,-7.130622864E-3,1.293976783E-2
1.266282730E0,1.127649844E-2,1.211225986E-3,-2.324104309E-3,1.157704393E-2
1.271137470E0,1.695469022E-3,3.599837422E-3,2.381134033E-2,2.414152798E-2
1.275992209E0,2.777741849E-2,1.546514034E-2,1.411724091E-2,3.478580220E-2
1.280846897E0,1.805847138E-2,1.061274111E-2,-2.620697021E-3,2.110939875E-2
1.285701636E0,1.788885146E-2,2.716766298E-2,1.639556885E-2,3.642674287E-2
1.290556324E0,8.194960654E-3,1.269161701E-2,-2.735137939E-3,1.535302908E-2
1.295411064E0,-1.094423980E-2,3.084748983E-3,2.340507507E-2,2.602094541E-2
1.300265751E0,8.091509342E-3,1.017695665E-2,-5.279541016E-3,1.403269481E-2
1.305120491E0,8.816719055E-4,-1.127946377E-2,9.009361267E-3,1.446278807E-2
1.309975178E0,5.632571876E-3,-6.441935897E-3,1.130771637E-2,1.418058016E-2
1.314829918E0,3.643042594E-2,-1.348637044E-2,8.839607239E-3,3.983963828E-2
1.319684657E0,-1.609488204E-2,-1.478672028E-3,-7.305145264E-4,1.617916408E-2
1.324539345E0,-2.310275286E-2,-1.328344643E-2,6.397247314E-3,2.740642100E-2
1.329394084E0,-6.281651556E-3,2.955739200E-2,1.595497131E-3,3.025961301E-2
1.334248772E0,1.039968431E-2,1.034221053E-2,-5.539894104E-3,1.567817525E-2
1.339103511E0,2.219329774E-2,-1.586412638E-2,1.628875732E-3,2.732885301E-2
1.343958199E0,-1.781769097E-3,8.825957775E-4,1.823425293E-2,1.834234599E-2
1.348812939E0,-1.785643399E-3,-1.503884792E-3,3.836631775E-3,4.491095099E-3
1.353667678E0,6.133392453E-4,-1.333777606E-2,-9.431838989E-4,1.338514293E-2
1.358522366E0,-1.756802201E-3,-2.269843221E-2,1.093482971E-2,2.525620081E-2
1.363377105E0,-6.481327116E-3,1.078265905E-2,-8.149147034E-3,1.498939408E-2
1.368231793E0,-1.828892902E-2,2.024327219E-2,-9.603500366E-4,2.729830151E-2
1.373086532E0,-6.285332143E-3,2.722159028E-2,-1.282405853E-2,3.074047584E-2
1.377941220E0,-3.877937794E-3,-1.574467868E-2,-1.271724701E-2,2.060732102E-2
1.382795959E0,-6.239734590E-3,1.001268625E-3,1.634597778E-3,6.527536787E-3
1.387650647E0,1.046951115E-2,-6.104737520E-3,-7.534027100E-4,1.214273855E-2
1.392505386E0,-6.228059530E-3,-8.402988315E-3,8.749008179E-3,1.363613150E-2
1.397360126E0,-6.166622043E-3,-1.185953617E-3,3.927230835E-3,7.406541395E-3
1.402214814E0,-1.800593361E-2,-8.244648576E-3,1.520156860E-3,1.986199266E-2
1.407069553E0,-1.256816089E-3,1.345425844E-3,-3.240585327E-3,3.727083397E-3
1.411924241E0,-1.266308129E-3,-1.015156507E-3,8.657455444E-3,8.808269625E-3
1.416778980E0,8.249558508E-3,-5.759060383E-3,1.333522797E-2,1.670479862E-2
1.421633668E0,-8.399590850E-3,-5.686506629E-3,-2.239036560E-2,2.458084530E-2
1.426488407E0,1.301776618E-2,-1.039171219E-2,3.911972046E-3,1.711003927E-2
1.431343147E0,1.054509729E-2,-3.158360720E-3,-5.617141724E-3,1.235826041E-2
1.436197834E0,3.344312310E-3,4.014968872E-3,-3.196716309E-3,6.125634255E-3
1.441052574E0,3.296889365E-3,1.825095713E-2,6.326675415E-3,1.959575815E-2
1.445907261E0,1.989798248E-2,-1.276957989E-2,1.814460754E-2,2.980299750E-2
1.450762001E0,5.468145013E-3,1.347677410E-2,1.374244690E-3,1.460864807E-2
1.455616689E0,-8.842267096E-3,-8.556097746E-4,-5.759239197E-3,1.058709552E-2
1.460471428E0,1.498284191E-2,1.104655862E-2,-5.711555481E-3,1.947136038E-2
1.465326116E0,2.997204661E-3,-3.412997723E-2,-1.041126251E-2,3.580828072E-2
1.470180855E0,5.326822400E-3,1.128779352E-2,1.341724396E-2,1.832516725E-2
1.475035595E0,-1.610404626E-2,-2.676830441E-2,1.093006134E-2,3.309605214E-2
1.479890282E0,-1.598898694E-2,1.939788461E-3,1.342773438E-3,1.616210145E-2
1.484745022E0,-1.630008221E-3,1.141543686E-2,-8.164405823E-3,1.412892947E-2
