"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.086780125E0,2.707809024E-3,6.354520996E-3,7.087994814E-3,9.897062053E-3
1.096813125E0,-9.473686209E-3,-6.587622761E-3,2.595579028E-3,1.182727925E-2
1.106846125E0,3.699944476E-3,-1.605116656E-3,1.082611978E-2,1.155295885E-2
1.116880125E0,-6.116671795E-3,6.295988312E-3,4.239231348E-3,9.748036987E-3
1.126913125E0,-2.274092716E-2,3.555352654E-3,7.831760645E-3,2.431309885E-2
1.136946125E0,-1.940652503E-2,-1.079819704E-2,1.232183754E-2,2.539767614E-2
1.146979125E0,-4.621301210E-3,-1.125770711E-2,8.131138086E-3,1.463583960E-2
1.157012125E0,1.330570467E-2,-1.086861488E-3,1.022736490E-2,1.681731362E-2
1.167045125E0,1.577341240E-3,-7.662515729E-3,7.533552647E-3,1.086078119E-2
1.177078125E0,1.346463930E-2,-1.164333669E-3,3.473246098E-4,1.351934979E-2
1.187111125E0,1.524135232E-2,-2.004040660E-3,6.485146880E-3,1.668448769E-2
1.197144125E0,1.391222538E-2,-2.709590597E-5,9.178959131E-3,1.666745452E-2
1.207177125E0,1.743297097E-2,-3.624338378E-3,8.129968643E-3,1.957398007E-2
1.217210125E0,1.214914368E-2,-1.375340039E-2,6.482223272E-3,1.946219240E-2
1.227243125E0,-3.071688563E-3,-6.168276899E-3,3.487279415E-3,7.722954632E-3
1.237276125E0,-1.391751529E-2,1.485119686E-3,1.890638709E-2,2.352348369E-2
1.247309125E0,-9.610447101E-3,-5.918308430E-3,1.246977210E-2,1.681910474E-2
1.257342125E0,-1.828678323E-2,-5.498421245E-3,4.946744442E-4,1.910193131E-2
1.267375125E0,-1.931792144E-3,-3.265511199E-3,2.290354371E-3,4.431828903E-3
1.277408125E0,-7.445323644E-3,3.745071961E-3,6.781015992E-3,1.074432809E-2
1.287441125E0,-1.409073905E-2,-9.378682659E-4,1.172132850E-2,1.835260378E-2
1.297474125E0,-8.039620025E-3,8.498985053E-4,2.891448140E-3,8.585935590E-3
1.307508125E0,2.676206650E-3,2.143513427E-2,1.172366738E-2,2.457786484E-2
1.317541125E0,2.998205507E-3,8.093677077E-3,4.987090230E-3,9.968345593E-3
1.327574125E0,3.140247166E-3,3.949363626E-3,5.136778951E-3,7.200355776E-3
1.337607125E0,1.654955719E-2,4.866947079E-3,3.339344859E-3,1.757060730E-2
1.347640125E0,1.777845919E-3,-3.932718476E-3,5.135024786E-3,6.707867789E-3
1.357673125E0,-8.307303730E-3,3.281978192E-4,1.241948605E-3,8.406036249E-3
1.367706125E0,-5.343496297E-3,-4.182862819E-3,1.561031163E-2,1.702149004E-2
1.377739125E0,-6.427369080E-4,-4.542447167E-3,9.921555519E-3,1.093088290E-2
1.387772125E0,1.116452739E-3,5.387059195E-3,9.473074079E-3,1.095472528E-2
1.397805125E0,-7.285219571E-3,4.228054258E-3,-2.566927671E-4,8.427144130E-3
1.407838125E0,7.592107030E-3,2.247923228E-4,3.185563087E-3,8.236408982E-3
1.417871125E0,6.646329034E-3,2.832152577E-3,9.772451520E-3,1.215300731E-2
1.427904125E0,-7.848534845E-3,3.270319164E-3,1.081968784E-2,1.376081871E-2
1.437937125E0,6.744406940E-3,-3.662741566E-3,1.837195158E-3,7.891640312E-3
1.447970125E0,-5.481316997E-3,-1.268080634E-4,3.632875085E-3,6.577134459E-3
1.458003125E0,-4.458346618E-3,-4.236622942E-3,1.246509433E-2,1.389979874E-2
1.468037125E0,6.167085757E-3,-1.078643409E-3,1.537817717E-3,6.446805540E-3
1.478070125E0,7.279966213E-3,-2.128789636E-3,7.824159265E-3,1.089711529E-2
1.488103125E0,-3.103702068E-3,-6.782453813E-3,4.980658293E-3,8.968924311E-3
1.498136125E0,-2.817572225E-3,-6.478454559E-3,1.291416049E-2,1.472021154E-2
1.508169125E0,-7.502114726E-3,-1.008809267E-2,1.171548128E-2,1.718440691E-2
1.518202125E0,-6.438423973E-4,1.952166949E-2,9.321046472E-3,2.164236633E-2
1.528235125E0,-6.819159938E-3,-3.267444663E-3,1.830061555E-2,1.980125416E-2
1.538268125E0,-5.859613577E-3,-1.660545291E-3,1.983960271E-3,6.405355594E-3
1.548301125E0,1.310123485E-3,1.684945996E-4,-2.357012630E-3,2.701910900E-3
1.558334125E0,-2.030052776E-3,-6.262282311E-3,7.223650217E-3,9.773352366E-3
1.568367125E0,1.727386275E-3,-5.027900826E-3,9.468981028E-3,1.085933938E-2
1.578400125E0,7.944511408E-3,6.825619284E-4,6.773414612E-3,1.046232755E-2
